"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2019","292.45","295.90","296.75","291.45","10.19M","-0.85%"
"Jan 18, 2019","294.95","298.75","299.85","294.25","9.08M","-0.82%"
"Jan 17, 2019","297.40","303.90","304.35","295.60","15.97M","-1.90%"
"Jan 16, 2019","303.15","303.00","306.65","302.10","12.11M","0.50%"
"Jan 15, 2019","301.65","302.00","303.60","301.10","9.44M","0.42%"
"Jan 14, 2019","300.40","301.00","303.60","299.55","10.37M","-0.78%"
"Jan 11, 2019","302.75","305.40","306.20","300.95","12.70M","-0.92%"
"Jan 10, 2019","305.55","305.10","307.50","303.50","16.30M","0.08%"
"Jan 09, 2019","305.30","306.00","307.10","300.75","21.11M","0.00%"
"Jan 08, 2019","305.30","295.80","306.00","294.75","22.95M","3.04%"
"Jan 07, 2019","296.30","301.05","301.50","295.20","14.58M","-0.45%"
"Jan 04, 2019","297.65","292.10","299.00","291.50","19.51M","2.25%"
"Jan 03, 2019","291.10","295.00","295.55","290.10","17.55M","-0.95%"
"Jan 02, 2019","293.90","299.10","302.50","293.10","25.56M","-1.90%"
"Jan 01, 2019","299.60","297.50","300.70","293.85","11.84M","1.25%"
